"Dates","Times","qr","beta_ti"
"2020-02-22",0,1,0.56284092
"2020-03-23",30,0.73,0.56284092
"2020-04-12",50,0.55,0.30290629
"2020-04-30",68,0.66,0.25937733
"2020-05-10",78,0.71,0.12269903
"2020-06-21",120,0.81,0.12970128
"2020-09-16",207,0.88,0.13717922
"2020-11-02",254,0.92,0.15606398
"2020-11-21",273,0.9,0.23072603
"2020-12-12",294,0.93,0.1438783
"2020-12-24",306,0.93,0.07351634
"2020-12-31",313,0.92,0.37881332
"2021-01-06",319,0.93,0.10741919
"2021-02-14",358,0.91,0.09823298
"2021-03-14",386,0.9,0.10283579
"2021-04-04",407,0.89,0.13202318
"2021-04-30",433,0.92,0.06364908
"2021-05-10",443,0.91,0.09258959
"2021-06-20",484,0.95,0.30357521
"2021-08-23",548,0.95,0.06589642
"2021-08-30",555,0.95,0.53085213
